TRACT GEOID 2010PlanningDistrict Neighborhood
080401 25025080401 Roxbury Roxbury
080300 25025080300 Roxbury Roxbury
080100 25025080100 Roxbury Roxbury
981201 25025981201 South_Boston South_Boston
061101 25025061101 South_Boston South_Boston
061200 25025061200 South_Boston South_Boston
061000 25025061000 South_Boston South_Boston
060800 25025060800 South_Boston South_Boston
060700 25025060700 South_Boston South_Boston
060301 25025060301 South_Boston South_Boston
060101 25025060101 South_Boston South_Boston
060400 25025060400 South_Boston South_Boston
060200 25025060200 South_Boston South_Boston
060501 25025060501 South_Boston South_Boston
060600 25025060600 South_Boston South_Boston_Waterfront
981202 25025981202 South_Boston South_Boston_Waterfront
071201 25025071201 South_End South_End
071101 25025071101 South_End South_End
070900 25025070900 South_End South_End
070800 25025070800 South_End South_End
070700 25025070700 South_End South_End
070600 25025070600 South_End South_End
070500 25025070500 South_End South_End
070402 25025070402 South_End South_End
020301 25025020301 Central West_End
130402 25025130402 West_Roxbury West_Roxbury
130300 25025130300 West_Roxbury West_Roxbury
130200 25025130200 West_Roxbury West_Roxbury
130100 25025130100 West_Roxbury West_Roxbury
110601 25025110601 West_Roxbury West_Roxbury
130404 25025130404 West_Roxbury West_Roxbury
130406 25025130406 West_Roxbury West_Roxbury
